0,1,m1,"{(0, 0), (1, 2), (2, 3)}","{(0, 0), (1, 3), (2, 2), (3, 1), (4, 4)}","{(0, AT1:1),(1, AT2:2),(2, A:0),(3, A:0),(4, AT3:1)}
1 5 0
11001
00010
00100
00000
00000
00000
({}, {c1}, {(0, 1), (1, 1)})
({}, {c2}, {(1, 1), (4, 1)})"
0,1,m1,"{(0, 0), (1, 1), (2, 3)}","{(0, 0), (1, 3), (2, 1), (3, 2), (4, 4)}","{(0, AT1:1),(1, AT2:2),(2, A:0),(3, A:0),(4, AT3:1)}
1 5 0
11001
00010
00100
00000
00000
00000
({}, {c1}, {(0, 1), (1, 1)})
({}, {c2}, {(1, 1), (4, 1)})"
1,2,m2,"{(0, 1), (1, 2), (2, 4)}","{(0, 1), (1, 4), (2, 2), (3, 0), (4, 3)}","{(0, AT2:2),(1, AT3:1),(2, A:0),(3, AT1:1),(4, A:0)}
1 5 0
11010
00000
00100
00000
00001
00000
({}, {c1}, {(0, 1), (3, 1)})
({}, {c2}, {(0, 1), (1, 1)})"
1,3,m1,"{(0, 0), (1, 3), (2, 1)}","{(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)}","{(0, AT1:1),(1, AT2:2),(2, A:0),(3, A:0),(4, AT3:1)}
1 5 0
11001
00000
00110
00000
00000
00000
({}, {c1}, {(0, 1), (1, 1)})
({}, {c2}, {(1, 1), (4, 1)})"
2,4,m1,"{(0, 3), (1, 4), (2, 0)}","{(0, 3), (1, 0), (2, 4), (3, 1), (4, 2)}","{(0, AT1:1),(1, AT2:2),(2, A:0),(3, AT3:1),(4, A:0)}
1 5 0
11010
00000
00100
00000
00001
00000
({}, {c1}, {(0, 1), (1, 1)})
({}, {c2}, {(1, 1), (3, 1)})"
3,4,m2,"{(0, 1), (1, 2), (2, 4)}","{(0, 4), (1, 0), (2, 3), (3, 1), (4, 2)}","{(0, AT1:1),(1, AT2:2),(2, A:0),(3, AT3:1),(4, A:0)}
1 5 0
11010
00000
00100
00000
00001
00000
({}, {c1}, {(0, 1), (1, 1)})
({}, {c2}, {(1, 1), (3, 1)})"
3,4,m2,"{(0, 1), (1, 3), (2, 4)}","{(0, 4), (1, 0), (2, 2), (3, 1), (4, 3)}","{(0, AT1:1),(1, AT2:2),(2, A:0),(3, AT3:1),(4, A:0)}
1 5 0
11010
00000
00100
00000
00001
00000
({}, {c1}, {(0, 1), (1, 1)})
({}, {c2}, {(1, 1), (3, 1)})"
4,5,m2,"{(0, 1), (1, 2), (2, 3)}","{(0, 1), (1, 3), (2, 4), (3, 0), (4, 2)}","{(0, AT2:2),(1, AT3:1),(2, A:0),(3, AT1:1),(4, A:0)}
1 5 0
11010
00000
00101
00000
00000
00000
({}, {c1}, {(0, 1), (3, 1)})
({}, {c2}, {(0, 1), (1, 1)})"
